"supplier_name","country","city","vat_number","registration_number","supplier_code"
"ANDALO GIANNI S.R.L.","IT","IMOLA (BOLOGNA)","01542181209","IT01542181209","ANDA01"
"COMEB","IT","ROMA (RM)",NA,"IT08338281002","COME20"
"MICROWAVEFILTERS S.R.L.","IT","PIOLTELLO (MI)",NA,NA,"MIC108"
"ANDALO GIANNI","IT","IMOLA (BOLOGNA)","01542181209","IT01542181209","ANDA01"
"RODOFIL","IT","CHIOZZOLA DI SORBOLO (PR)","01702180348","IT01702180348","RODO02"
"CMTI SOCIETY PETROLEUM","IT","ORTONA (CH)","I01847500699","IT01847500699","CSP-05"
"SAN GIORGIO AUTOMAZIONE","IT","GENOVA","03369840107","IT03369840107","SAN-01"
"E4","IT","SCANDIANO (RE)","02005300351","IT02005300351","EFOU01"
"TEAM ENGINEERING / GIBB","IT","ROMA",NA,NA,"GR2S23"
"O.C.E.M. SPA","IT","VALSAMOGGIA (BO)","03148211208","IT03148211208","OCEM50"
"CASTELLINI OFFICINE MECCANICHE SPA","IT","CAZZAGO SAN MARTINO",NA,NA,"CAST62"
"GROUPE SCHNEIDER","IT","STEZZANO (BERGAMO)","02424870166",NA,"SCHN15"
"BRAR ELETTROMECCANICA SRL","IT","PEGOGNAGA","00267270205","IT00267270205","BRAR01"
"MECCANICA MATELICESE DI BRAVETTI & ANTONELLI SNC","IT","MATELICA","00174640433",NA,"MATE87"
"CRS4 CENTRO DI RICERCA, SVILUPPO E STUDI","IT","UTA, CAGLIARI",NA,NA,"CRS-01"
"PROMEC ELETTRONICA SRL","IT","IVREA","01134820016","IT01134820016","PROM14"
"SOC. COOPERATIVA LAGOMARSINI","IT","AVENZA-CARRARA","00105360457",NA,"SCL-02"
"TECNODELTA SRL","IT","CHIVASSO (TO)","07359850018","IT07359850018","TECN16"
"TOSTI SERGIO","IT","CASTEL DEL PIANO","01181900539","IT01181900539","TOST55"
"ASG SUPERCONDUCTORS SPA","IT","GENOVA","01234890992","IT01234890992","ANSA50"
"BONO ENERGIA SPA","IT","PESCHIERA BORROMEO (MI)","00757520150",NA,"BONO01"
"S.T.M. DI VISENTINI S.& C. SNC","IT","PORTO MANTOVANO MANTOVA",NA,NA,"STM-01"
"FIR FABBRICA ITALIANA RELE","IT","SAN PELLEGRINO TERME","00230770166",NA,"FIR-50"
"C T CRANE TEAM SRL","IT","MILANO",NA,NA,"CTC-01"
"ANSALDO SUPERCONDUTTORI SPA (EX ANSALDO ENERGIA SPA)","IT","GENOVA","01234890992","IT01234890992","ANSA50"
"3C (TRE FRATELLI COSTA)","IT","SARONNO",NA,NA,"TROI06"
"REVEN.GE SRL","IT","TORINO",NA,NA,"REVE03"
"ACTI SRL","IT","MONZA",NA,NA,"ACTI01"
"MS GALLAVOTTI  BARBARA","IT","ROMA",NA,NA,"MGB-01"
"REMEDIA","IT","ROME",NA,"IT13282681009","REME04"
"MUST-","IT","MILANO",NA,NA,"MUST05"
"E. BOCCHIA","IT","BELLAGIO",NA,NA,"E---06"
"RAND ELECTRIC","IT","MILANO (MI)",NA,"IT01096930159","ELE372"
"DB ELETTRONICA TELECOMUNICAZIONI","IT","PADOVA","00710830282","IT04704250283","TEL-31"
"WISE","IT","ALBERI-PARMA",NA,"IT02265910345","WISE02"
"ELTOS SPA","IT","AREZZO","00870080512","IT00870080512","ELTO50"
"ROS SISTEMI SPA","IT","LEGNANO",NA,NA,"ROS-01"
"CRIOTEC IMPIANTI SRL","IT","CHIVASSO","05608500012","IT05608500012","CRIO50"
"EUROMEC S.R.L.","IT","MODENA","02572010367","IT02572010367","EUR109"
"MARIOFF ITALIA","IT","PERO (MILANO)","10802490150",NA,"MARI08"
"ADVEL","IT","SEGRATE (MILANO)",NA,"IT01815190150","ADVE02"
"ST MICROELECTRONICS","IT","CATANIA",NA,NA,"ST--01"
"REVELLI METALLIK SPA","IT","SAN MAURO T.SE (TO)","05974590019",NA,"REVE50"
"TOSTI S.A.S. DI TOSTI FOSCO & C.","IT","CASTEL DEL PIANO","01181900539","IT01181900539","TOST55"
"ITC INSTITUTO TRENTINO DI CULTURA","IT","POVO (TRENTO)","02003000227","IT02003000227","ITC-03"
"FRAVIT S.R.L.","IT","VALMADRERA (LECCO)","00221630130",NA,"FRAV01"
"REVELLI S.P.A","IT","SAN MAURO T.SE (TO)","05974590019",NA,"REVE50"
"FONDAZIONE BRUNO KESSLER (EX ITC INSTITUTO TRENTINO CULTURA)","IT","POVO (TRENTO)","02003000227","IT02003000227","ITC-03"
"DITRON SRL","IT","CERANO","00896650157",NA,"DITR75"
"SIMPRO AUTOMAZIONE SRL","IT","GENOVA","0369840107",NA,"SIMP01"
"UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II","IT","NAPOLI",NA,NA,"UNI166"
"MASSIMO BONFANTE","IT","MILANO",NA,NA,"MASS04"
"ARAP - ASSOCIAZIONE ROMANA PER LE ASTRO-PARTICELLE","IT","ROMA",NA,NA,"ARAP01"
"INFN - ISTITUTO NAZIONALE DI FISICA NUCLEARE","IT","ROMA",NA,NA,"INFN50"
"ELETTRONIKA (ITALY)","IT","PALO DEL COLLE (BA)","03818020723","IT03818020723","ELET08"
"EQUIPAGGIAMENTI ELETTRONICI INDUSTRIALI","IT","VICENZA",NA,"IT00604040246","EEI-01"
"MASPERO ELEVATORI SRL","IT","APPIANO GENTILE","00193730132",NA,"MASP01"
"BIEMME ELETTROTECNICA SRL","IT","VIGEVANO","00519810188",NA,"BIEM01"
"BERTI SRL","IT","TESSERA (VE)",NA,NA,"BERT91"
"MICROELETTRICA SCIENTIFICA","IT","BUCCINASCO (MI)","00742200157","IT00742200157","MICR56"
"MAYEKAWA ITALIA","IT","CALDERARA DI RENO BO","07272790960",NA,"MISR01"
"DELTA-TI IMPIANTI","IT","RIVOLI (TO)","01219870019","IT01219870019","DTI-03"
"INFN - INSTITUTO NAZIONALE DI FISICA NUCLEARE","IT","ROMA",NA,NA,"INFN50"
"EUROPA METALLI SPA","IT","FORNACI DI BARGA (LU)",NA,NA,"EURO69"
"ETTORE ZANON SPA","IT","SCHIO","00166080242","IT00166080242","ZANO75"
"INVEX SPA","IT","QUATTORDIO","00161130067",NA,"INVE95"
"ENEL S.P.A.","IT","ROMA",NA,NA,"ENEL01"
"CARLO PIACENZA & FIGLI","IT","TORINO","08436340012","IT04781180015","PIAC50"
"OMA SPA","IT","VERMEZZO (MI)","03111430157",NA,"OMA-01"
"CISE","IT","MILANO",NA,NA,"CISE01"
"ISTITUTO DI METROLOGIA - CNR","IT","TORINO",NA,"IT09261710017","ISTI01"
"SIB","IT","BAGNOLO CREMASCO (CREMONA)",NA,NA,"SIB-01"
"FASTOR STAMPI SRL","IT","VENARIA REALE (TO)",NA,NA,"FAST05"
"ALGAT S.p.A.","IT","SAN CARLO CANAVESE",NA,NA,"ALGA01"
"UNIVERSITA DEGLI STUDI DI GENOVA","IT","GENOVA",NA,NA,"UNIV96"
"LINCOLN ELECTRIC ITALIA Srl","IT","GENOVA",NA,"IT02356780102","LINC02"
"BERCONS S.R.L.","IT","MALO",NA,NA,"BERC03"
"DG-TECHNOLOGY SERVICE SRL","IT","PARMA","01933320341",NA,"DG--02"
"DEMONT SRL","IT","MILLESIMO (SV)","00115430092",NA,"DEMO85"
"ACQUINDUSTRIALI SRL","IT","MILANO",NA,NA,"ACQU50"
"ITALKRANE SRL","IT","BUSSERO",NA,NA,"ITAL81"
"SPIG INTERNATIONAL SPA","IT","ARONA","01745560035",NA,"SPIG02"
"SPIG INTERNATIONAL SPA *** voir MARL02 ***","IT","ARONA","01745560035",NA,"SPIG02"
"CHLORIDE SILECTRON SPA","IT","CASTEL GUELFO DI BOLOGNA (BO)",NA,NA,"CHLO04"
"MODELLERIA PEIRETTI","IT","CUMIANA (TO)","06724240012",NA,"PEIR01"
"SIMIC SPA","IT","CAMERANA (CUNEO)","02121640045",NA,"SIMI02"
"RADIO FREQUENCY SYSTEMS","IT","MONZA (MI)",NA,NA,"RADI10"
"TOP GLASS SPA","IT","OSNAGO (LC)","02448670980",NA,"TOP-05"
"SAES ADVANCED TECHNOLOGIES SPA","IT","AVEZZANO (AQ)","01277610661",NA,"SAES01"
"ZOPPAS INDUSTRIES SPA","IT","S  VENDEMIANO (TV)",NA,"IT00179770268","ZOPP01"
"ALCA TECHNOLOGY","IT","SCHIO (VI)","02793000247","IT02793000247","ALCA04"
"DEMONT (IT)-GESCO (IT)","IT","CINISELLO BALSAMO",NA,NA,"GR2S58"
"CARLO PIACENZA & FIGLI SNC","IT","TORINO","08436340012","IT04781180015","PIAC50"
"CARPENTERIA S. ANTONIO SPA","IT","ZANICA (BG)","02500420167",NA,"CARP01"
"CONSORZIO PETROLNET","IT","RAVENNA",NA,NA,"PETR02"
"DMV STAINLESS ITALIA","IT","COSTA VOLPINO","02276170160",NA,"DMV-03"
"BIASETTON OLEODINAMICA","IT","GENOVA BOLZANETO",NA,NA,"BIAS01"
"E.E.I. EQUIPAGGIAMENTI ELETTRONICI INDUSTRIALI SRL","IT","VICENZA",NA,"IT00604040246","EEI-01"
"OUTOKUMPU COPPER SUPERCONDUCTORS ITALY (EXEUROPA METALLI SPA","IT","FORNACI DI BARGA (LU)",NA,NA,"EURO69"
"LUVATA (EX OUTOKUMPU COPPER (EXEUROPA METALLI SPA)","IT","FORNACI DI BARGA (LU)",NA,NA,"EURO69"
"COSMI SPA","IT","RAVENNA","00529800393",NA,"COSM03"
"SMAI","IT","AUGUSTA (SR)",NA,NA,"SMAI01"
"COMES IMPIANTI SRL","IT","CASALNUOVO DI NAPOLI (NA)",NA,NA,"COME09"
"GBC INDUSTRIAL TOOLS S.P.A.","IT","TORBIATO DI ADRO (BS)",NA,"1172368","GIT-01"
"FANTUZZI REGGIANE SPA","IT","BAGNOLO IN PIANO (RE)",NA,"IT02028090351","REGG50"
"INITIATIVE INDUSTRIALI SRL","IT","ORTONA CHIETI","01398420693",NA,"INIT02"
"KIDDE ITALIA","IT","GUANZATE  (COMO )",NA,NA,"KIDD01"
"OFFICINE V. BERTOLI & F. SNC","IT","CONSELVE (PADOVA)",NA,NA,"OVB-01"
"VLT VACUUM LASER TECHNOLOGY SRL","IT","COLLEFERRO (RM)",NA,NA,"VVLT01"
"ELMEC ITALIA","IT","AOSTA","01007840075","IT01007840075","ELME01"
"FINMEK M&S","IT","PADOVA","06346551002",NA,"FMS-02"
"INGEST FACILITY S.P.A","IT","TORINO",NA,NA,"IFSP01"
"C.E.S.I. (CENTRO ELETTROTECNICO SPERIMENTALE ITALIANO)","IT","MILANO","00793580150",NA,"CESI50"
"ENEA","IT","FRASCATI",NA,NA,"ENEA01"
"DUCATI ENERGIA SPA","IT","BOLOGNA","04261520375","IT04261520375","DUCA50"
"SIEMENS","IT","TORINO",NA,"IT00751160151","SIEM70"
"TOSTI  SRL (EX TOSTI S.A.S. DI TOSTI FOSCO & C.)","IT","CASTEL DEL PIANO","01181900539","IT01181900539","TOST55"
"VIMEC S.R.L","IT","OPERA (MI)","11110680151","IT11110680151","VSRL01"
"COSTRUZIONI INDUSTRIALI BASILICATA SRL","IT","VIGGIANO (PZ)","01268320767",NA,"COST03"
"O.R.I. DI ALTINI LUIGI & C. SAS","IT","GRANAROLO FAENTINO (RA)","01216080398","IT01216080398","ORI-50"
"ALCA TECHNOLOGY SRL","IT","SCHIO (VI)","02793000247","IT02793000247","ALCA04"
"ROTFIL SRL","IT","PIANEZZA (TO)",NA,"IT01846410015","ROTF50"
"MECATRONIC SRL","IT","CASCINE VICA RIVOLI (TORINO)",NA,NA,"MECA24"
"DPT DI ELETTRONICA E INFORMATZIONE POLITECNICO DI MILANO","IT","MILANO",NA,NA,"DDEE01"
"ENEA CASACCIA","IT","S.MARIA DI GALERIA (ROMA)",NA,"IT00985801000","ENEA50"
"ALTA SRL","IT","SCANDICCI (FI)","01755710488",NA,"ALTA04"
"SITINDUSTRIE INTERNATIONAL","IT","PADERNO DUGNANO",NA,NA,"SITI40"
"CAP IT SRL","IT","PASSIRANA DI RHO (MI)","11762310156","IT11762310156","CAP-04"
"TECNIKABEL S.R.L.","IT","VOLPIANO (TO)","01788720017","IT01788720017","TECN37"
"FINMEK SPA","IT","PADOVA","06346551002",NA,"FMS-02"
"S.C.M. SRL (EX SCM DI FREGNI PARIDE & C. SNC)","IT","MODENA","03539460364","IT03539460364","SCM-25"
"CISTELAIER SPA","IT","MODENA","02684440361","IT02684440361","CIST50"
"BADONI S.R.L.","IT","COSTA MASNAGA","02703090130",NA,"BADO02"
"TCT SPA","IT","RIVOLI (TURIN)",NA,NA,"TCT-02"
"AEROEL S.R.L.","IT","PRADAMANO (UD)","00518830302",NA,"AERO13"
"DIMENSIONE SPA ***SEE DIME45***","IT","GRUGLIASCO",NA,NA,"DIME05"
"DB ELETTRONICA TELECOMUNICAZIONI SPA","IT","PADOVA","00710830282","IT04704250283","TEL-31"
"DELTA MECCANICA","IT","ORVIETO","00603060559","IT00603060559","DMSR01"
"GHIRINGHELLI","IT","MUGGIO",NA,"IT00840170153","GHIR01"
"CRIOTEC IMPIANTI","IT","CHIVASSO","05608500012","IT05608500012","CRIO50"
"VAQTEC SRL","IT","TORINO","09177930014","IT09177930014","VAQT01"
"NEETRA SRL","IT","PALO DEL COLLE (BA)","03818020723","IT03818020723","ELET08"
"CONSORZIO FERRARA RICERCHE","IT","FERRARA",NA,"IT01268750385","CFR-02"
"MINOTTI METALLURGICA","IT","VAREDO (MI)",NA,"IT01050680964","MINO75"
"ERNESTO MALVESTITI","IT","CINISELLO BALSAMO (MI)","00694890963","IT00694890963","MALV50"
"CRDC TECNOLOGIE S.C.A R.L.","IT","NAPOLI","05577421216","IT05577421216","CTSC01"
"COLUMBUS SUPERCONDUCTORS","IT","GENOVA",NA,"IT01368760995","COLU01"
"CAEN","IT","VIAREGGIO (LU)","02436170464","IT00864500467","CAEN50"
"E4 COMPUTER ENGINEERING","IT","SCANDIANO (RE)","02005300351","IT02005300351","EFOU01"
"KEYCOMM COMPUTER MEDIA SPA","IT","SAN GIULIANO MILANESE","13113100153",NA,"KEYC01"
"IDEA PREFABBRICATI SRL","IT","SAN GUISTO",NA,NA,"IDEA11"
"E4 COMPUTER ENGINEERING S.P.A","IT","SCANDIANO (RE)","02005300351","IT02005300351","EFOU01"
"TESI SRL","IT","CHIETI","02337110692",NA,"TESI01"
"BUCCI S.A.S.","IT","TORINO",NA,NA,"BUCC01"
"SIEMENS SPA","IT","TORINO",NA,"IT00751160151","SIEM70"
"ORI - ALTINI LUIGI","IT","GRANAROLO FAENTINO (RA)","01216080398","IT01216080398","ORI-50"
"FRATELLI VIMERCATI","IT","SOVICO (MI)",NA,"IT00726910961","FRAT03"
"***CODE TO BE USED FOR ORDER CA1554384 ONLY*** DIMENSIONE","IT","10095",NA,NA,"DUPL05"
"CAEN (ITALY)","IT","VIAREGGIO (LU)","02436170464","IT00864500467","CAEN50"
"MELONI TECNO-HANDLING SRL","IT","TOLENTINO","02187050428","IT02187050428","MELO50"
"IN.ED.I SRL","IT","CHERASCO (CN)",NA,"IT02782340042","IEI-01"
"ORMIG","IT","OVADA (AL)",NA,"IT00167880061","ORMI01"
"IMER (ITALY)","IT","POGGIBONSI (SI)","00678440520","IT00678440520","IMER01"
"SIRENA SPA","IT","ROSTA",NA,"IT01047730013","SIRE80"
"SIEMENS (ITALY)","IT","TORINO",NA,"IT00751160151","SIEM70"
"HTC","IT","LEINI (TO)","092998870014","IT02998870014","HTC-01"
"ELTOS","IT","AREZZO","00870080512","IT00870080512","ELTO50"
"PRIMA ELECTRONICS SRL","IT","MONCALIERI","02299060018","IT02299060018","PRIM75"
"IVG COLBACHINI SPA","IT","CERVARESE S. CROCE","00957910284","IT00957910284","IVG-01"
"HAMMOND POWER SOLUTIONS SPA","IT","MELEDO DI SAREGO VI",NA,NA,"HPS-05"
"SAES  (ITALY)","IT","PARMA",NA,NA,"SAES50"
"MOTTA","IT","MERLINO",NA,"IT12047970152","MOTT02"
"ITALCOIL","IT","LORETO APRUTINO (PE)","01871850689","IT01871850689","ITAL11"
"RM SISTEMI ELETTRONICI","IT","AVIGLIANA (TO)","07920500019","IT07920500019","RSE-02"
"ELLE MARMI","IT","CARRARA",NA,"IT00209330455","ELLE03"
"BYTEST S.R.L.","IT","VOLPIANO",NA,"IT05102770012","BYTE01"
"NESITE","IT","PADOVA",NA,NA,"NESI01"
"INNOVATIVE GAS SYSTEMS","IT","GROSSETO","01242940532",NA,"IGS-04"
"TECNOLOGIE ALTO VUOTO","IT","CARAVAGGIO (BG)","01576210163","IT01576210163","TECN24"
"TRAFOMEC","IT","MILANO","01144960547","IT01144960547","TRAF87"
"RACK PERUZZI S.R.L.","IT","BRUINO","01118780012","IT01118780012","PERU50"
"RIAL VACUUM (ITALY)","IT","PARMA","01529600346","IT01529600346","RIAL50"
"CASAGRANDE","IT","VERONA","663680239","IT00663680239","CASA13"
"ALIANI HEAVY TRANSPORTS","IT","FIDENZA PR",NA,"IT00143690345","TRA109"
"T.C. SERVICE DI PIERPAOLO COLANGELI","IT","ASSERGI AQ",NA,"IT01682820665","TCSD01"
"FINZI ASSOCIATI","IT","MILANO",NA,"IT11395820159","ASSOA2"
"OMBA IMPIANTI & ENGINEERING + DIMENSION + FONDAMENTA (IT)","IT","TORRI DI QUARTESOLO (VI)",NA,NA,"GR3S73"
"SERGIO INSTALLAZIONI SAS DI PARMEGGIANO SERGIO","IT","TREVIGLIO BG",NA,NA,"INS308"
"UNIVERSITA DI ROMA - TOR VERGATA","IT","ROMA",NA,NA,"UNI351"
"ARCA STRUTTURE","IT","ROZZANO MI","09898790150","IT09898790150","ARCA10"
"UNIVERSITA DI PADOVA (DEI)","IT","PADOVA",NA,NA,"UNI200"
"ITAL STRUCTURES SRL","IT","RIVA DEL GARDA",NA,NA,"ITAL09"
"DIEGM (DEPT. INGEGNERIA ELLECTRICA, GESTIONALE E MECCANICA)","IT","UDINE",NA,NA,"DIEG01"
"BELOTTI SISTEMI","IT","PESCHIERA BORROMEO",NA,"IT03666960152","BELO01"
"KROHNE ITALIA","IT","PREGNANA MILANESE (MI)","10187680151","IT10187680151","KROH01"
"UNIVERSITA DEGLI STUDI DEL SANNIO (IT) - IMCB (IT)","IT","BENEVENTO",NA,NA,"GR2T88"
"MAROSO","IT","PIANEZZE",NA,NA,"MARO01"
"FONDAZIONE BRUNO KESSLER","IT","POVO (TRENTO)","02003000227","IT02003000227","ITC-03"
"G.N.R.","IT","AGRATE CONTURBIA (NO)","01572250031",NA,"GNR-01"
"TECNIKABEL (ITALY)","IT","VOLPIANO (TO)","01788720017","IT01788720017","TECN37"
"C.P.E. ITALIA SPA","IT","MILANO","06735840156","IT06735840156","CPE-01"
"SOMACIS","IT","CASTELFIDARDO (AN)","03357130172","IT03610920658","SOMA06"
"OPTOSMART","IT","NAPOLI",NA,"IT05019441210","OPTO14"
"MEMC ELECTRONIC MATERIAL SPA","IT","NOVARA I","01256330158","IT00889590030","ELE383"
"MEG S.R.L.","IT","S. MARTINO DI LUPARI (PD)",NA,NA,"MEG-02"
"ARIOTTI S.N.C.","IT","CARESANABLOT",NA,NA,"ARIO50"
"MARINE EQUIPMENT PELLEGRINI SRL","IT","VERONA",NA,NA,"MARI03"
"MICROCONTROL N.T. SRL","IT","MILANO",NA,NA,"MIC-02"
"REMBER SRL","IT","IVREA",NA,NA,"REMB51"
"POLIFIBRA","IT","AGRATE BRIANZA (MI)",NA,NA,"POLI05"
"UNIVERSALE S.P.A.","IT","GENOVA",NA,NA,"UNI-27"
"SEISYSTEM SRL","IT","VILLAFRANCA L (MS)",NA,"IT01205540451","SEIS01"
"PLYFORM SRL","IT","VARALLO POMBIA NO",NA,NA,"PLYF01"
"UNIVERSITA DEGLI STUDI DI PISA","IT","PISA",NA,NA,"UNIV77"
"WIND RIVER SYSTEMS ITALIA SRL","IT","TORINO",NA,"IT03089070969","WIND03"
"AURELIA MICROELETTRONICA","IT","CASCINA",NA,NA,"AURE01"
"E.C.S. S.R.L.","IT","ARCUGNANO (VI)",NA,NA,"ECSS01"
"FUTURCOM S.R.L.","IT","ARGELATO (BO)",NA,NA,"FSRL01"
"BASKET SRL","IT","POVIGLIO (RE)","01660960350","IT02183010350","BASK01"
"NOVACAVI SPA","IT","PESCHIERA BORROMEO","I02353450154","IT02353450154","NOVA27"
"BREVETTI STANDALTO","IT","MONZA","00841980964",NA,"BREV01"
"STEELWOOD ENGINEERING","IT","SAN DONA DI PIAVE (VE)",NA,"IT03540520271","STEE08"
"TEKNO IMPIANTI SERVICE","IT","PADERNELLO DI PAESE","04102180264","IT04102180264","TIS-03"
"SELTEK","IT","UDINE",NA,"IT02360630301","SELT02"
"MORELLO GIOVANNI","IT","TURIN","00134730019","IT00134730019","MORE09"
"SIMAI SPA","IT","SAN DONATO MILANESE","0088796015","IT00887960151","SIMA04"
"SEPAM (IT) - DIMENSIONE (IT)","IT","RIVALTA DI TORINO",NA,NA,"GR2T93"
"COMECER S.R.L.","IT","CASTEL BOLOGNESE","00183680396",NA,"COME11"
"RMP SRL","IT","ROMA","01790611006","IT01790611006","RMP-01"
"FLAMETAL SPA DIV OF PRAXAIR SURFACE TECHNOLOGIES SPA","IT","FORNOVO DI TARO","00561630334",NA,"FLAM50"
"OFF. MECC. LINCETTO PAOLO SNC","IT","CARRE (VI)",NA,NA,"LINC01"
"TELEMA SPA","IT","TORRE DI QUARTO","00977120336",NA,"TELE22"
